taxon_edit,taxa_db_id,authority
Plumeria rubra,3169674,GBIF
Caesalpinia cacalaco,9554989,GBIF
Cordia boissieri,5341276,GBIF
Malpighia glabra,5421429,GBIF
Malus,3001068,GBIF
Chilopsis,3172475,GBIF
