front or back yard,yard upkeep and appearance,yard orderliness (placement of plants riverbed etc),features in the yard,features in the yard/bird feeder,features in the yard/water feature,features in the yard/front porch,features in the yard/cats,features in the yard/dogs,features in the yard/pet or animal waste,features in the yard/religious ornaments or statues,features in the yard/flagpole,features in the yard/cars in yard but not in the driveway,features in the yard/potted plants,features in the yard/play equipment,features in the yard/lawn ornaments,features in the yard/chairs or tables,features in the yard/landscaped rock or river bed,features in the yard/created yard topography,features in the yard/litter or refuse on the ground,features in the yard/vegetation litter like leaves,features in the yard/yard maintenance tools,features in the yard/light post,features in the yard/other,watering regimes,watering regimes/hand watering,watering regimes/drip or trickle,watering regimes/overhead spray,watering regimes/flood,watering regimes/not irrigated,predominant landscape type,describe the landscape,amount of grass,percent of weeds in non-grass or xeric areas,are there weeds in other areas of the yard such as flowerbeds or the driveway,evidence of tree pruning such as cut branches,evidence of shrub pruning such as shaped shrubs,estimate to the nearest 5 per cent,percent living grass,percent bare ground,percent dead or dormant grass,percent weeds,percent other,hip_parcel_composition_calc,total composition,estimate to the nearest 5 per cent,percent very green grass,percent moderately green grass,percent greenish-yellow grass,percent yellowish grass,percent brownish grass,hip_parcel_grass_color_calc,total composition,percent of weeds IN grass area,grass patchiness,rate the overall lawn color (including grass and weeds),overall lawn quality,lawn edges trimmed?,recently mowed?,grass height (cm),weed height (cm),notable comment about the yard,_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status,_submission__notes,_submission__status,_submission__submitted_by,_submission___version__,_submission__tags
front,good,highly structured or designed,front porch litter or refuse on the ground vegetation litter like leaves landscaped rock or river bed potted plants,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,hand watering drip or trickle,1,1,0,0,0,xeric,,none,less than 10 percent,yes,yes,yes,,0,95,0,5,0,100,100,,,,,,,,,,,,,,,,,,11,ESCA_parcel,6,237622027,a57f0291-a799-4cb1-acf3-3fa901d8eaa3,2023-05-11 22:35:01,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
front,good,highly structured or designed,front porch light post vegetation litter like leaves litter or refuse on the ground chairs or tables landscaped rock or river bed pet or animal waste,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,hand watering drip or trickle overhead spray,1,1,1,0,0,xeric,,none,less than 10 percent,yes,yes,yes,,0,75,0,5,20,100,100,,,,,,,,,,,,,,,,,,12,ESCA_parcel,7,238730379,e4dd68f3-530e-41f3-8fa0-4e9ba7eb4855,2023-05-16 22:45:38,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
rear,good,medium,front porch dogs yard maintenance tools vegetation litter like leaves lawn ornaments chairs or tables bird feeder water feature pet or animal waste potted plants landscaped rock or river bed litter or refuse on the ground,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,hand watering drip or trickle overhead spray,1,1,1,0,0,xeric,,none,less than 10 percent,yes,yes,yes,,0,85,0,5,10,100,100,,,,,,,,,,,,,,,,,,13,ESCA_parcel,7,238730379,e4dd68f3-530e-41f3-8fa0-4e9ba7eb4855,2023-05-16 22:45:38,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
front,good,highly structured or designed,front porch landscaped rock or river bed created yard topography vegetation litter like leaves,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,drip or trickle,0,1,0,0,0,xeric,,none,less than 10 percent,yes,yes,yes,,0,80,0,5,15,100,100,,,,,,,,,,,,,,,,,,14,ESCA_parcel,8,238730426,8d2ca4bc-5d2c-4d22-812e-884daab8a565,2023-05-16 22:45:56,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
rear,good,highly structured or designed,landscaped rock or river bed created yard topography litter or refuse on the ground vegetation litter like leaves water feature lawn ornaments,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,overhead spray drip or trickle,0,1,1,0,0,xeric,,less than half,less than 10 percent,yes,yes,yes,,5,80,10,5,,100,100,,5,0,0,95,0,100,100,less than 10 percent,grass is contiguous without weedy or bare patches,severe stress,"mixed grass and weeds, evenly distributed, and overall moderately green",yes,no,10,54,,15,ESCA_parcel,8,238730426,8d2ca4bc-5d2c-4d22-812e-884daab8a565,2023-05-16 22:45:56,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
front,good,highly structured or designed,front porch potted plants landscaped rock or river bed created yard topography vegetation litter like leaves,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,hand watering,1,0,0,0,0,xeric,,none,no grass area,yes,yes,yes,,0,90,0,5,5,100,100,,,,,,,,,,,,,,,,,,16,ESCA_parcel,9,239016239,8ab36e7a-83a4-44ff-9ddf-b92585197086,2023-05-17 23:31:52,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
rear,good,medium,dogs pet or animal waste water feature front porch potted plants chairs or tables vegetation litter like leaves yard maintenance tools created yard topography,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,overhead spray hand watering,1,0,1,0,0,mesic,,more than half,less than 10 percent,yes,yes,yes,,80,10,5,5,,100,100,,15,40,40,0,5,100,100,less than 10 percent,grass is contiguous without weedy or bare patches,little stress,"mostly monoculture with few weeds, overall greenish-yellow yard",yes,no,8,6,,17,ESCA_parcel,9,239016239,8ab36e7a-83a4-44ff-9ddf-b92585197086,2023-05-17 23:31:52,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
front,poor,medium,front porch potted plants litter or refuse on the ground vegetation litter like leaves,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,drip or trickle,0,1,0,0,0,mesic,,all or mostly grass,,yes,no,veg type is not present,,30,30,20,20,,100,100,,10,10,30,30,20,100,100,25 to 50 percent,there are patches of weeds or bare spots present,moderate stress,"very patchy, dead grass and weeds plus bare ground, overall brown color",no,no,5,10,,18,ESCA_parcel,10,240721082,e55b1f33-d754-47cb-9b3e-488fa2a99d51,2023-05-24 19:32:53,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
rear,poor,lacking order or structure,pet or animal waste litter or refuse on the ground vegetation litter like leaves yard maintenance tools,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,not irrigated,0,0,0,0,1,mixed,,none,more than 50 percent,yes,yes,no,,0,0,0,75,25,100,100,,,,,,,,,,,,,,,,,All overgrown weeds and shrubs,19,ESCA_parcel,10,240721082,e55b1f33-d754-47cb-9b3e-488fa2a99d51,2023-05-24 19:32:53,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
rear,good,medium,water feature dogs pet or animal waste front porch potted plants lawn ornaments chairs or tables landscaped rock or river bed litter or refuse on the ground vegetation litter like leaves yard maintenance tools,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,overhead spray flood,0,0,1,1,0,mixed,,less than half,10 to 25 percent,yes,yes,yes,,65,5,20,10,,100,100,,50,25,10,10,5,100,100,10 to 25 percent,there are patches of weeds or bare spots present,some stress,"mixed grass and weeds, evenly distributed, and overall moderately green",yes,yes,4,3,"Mixed, some grass,  some fruit trees,  some regular landscaping",20,ESCA_parcel,11,242318555,397f6eec-030c-464d-8b3b-f1894b139a03,2023-05-30 23:38:41,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,
