land use class,land use class percent,_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status,_submission__notes,_submission__status,_submission__submitted_by,_submission___version__,_submission__tags
Urban; Residential; Single family; Xeric,100,29,ESCA_plot,28,235173872,33f20dc2-eff4-4854-a7b4-b46d8267f42e,2023-05-01 19:02:54,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Open; Desert,100,30,ESCA_plot,29,235419132,81668631-a923-447e-82fa-8b72c561d3c2,2023-05-02 22:51:53,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Open; Desert,100,31,ESCA_plot,30,235664563,a4992836-9d78-428e-b852-2ac4666055cf,2023-05-03 22:14:17,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Open; Desert,100,32,ESCA_plot,31,235934263,c9caeecc-255c-42b7-b6ad-8cdc5d701565,2023-05-04 22:29:24,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Urban; Open; Vacant,100,33,ESCA_plot,32,236187157,54a43a18-4c1b-40e0-a992-e4182ed754ae,2023-05-05 21:40:15,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Transportation; Streets,100,34,ESCA_plot,33,236187178,1ba3df0b-1073-4c0c-9767-bdde0291506c,2023-05-05 21:40:23,,,submitted_via_web,caplter_luke,vJf4kUK8Jzine9YXd7YCoJ,
Open; Desert,100,35,ESCA_plot,34,236786569,7b22a064-0770-4450-991f-6ce0a5aaa0f1,2023-05-08 22:52:40,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Urban; Residential; Single family; Mixed,100,36,ESCA_plot,35,236786617,bf43f9e8-808e-42f0-8dec-9ed1decd09f5,2023-05-08 22:52:56,,,submitted_via_web,caplter_luke,vJf4kUK8Jzine9YXd7YCoJ,
Urban; Non-Residential; Institutional,100,37,ESCA_plot,36,237037270,d66aa7cd-5b40-4ae9-847d-743e31b7a1ae,2023-05-09 20:05:31,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Urban; Residential; Single family; Mixed,100,38,ESCA_plot,37,237037290,05b8d0af-1e20-4168-8673-1a68174e4bc6,2023-05-09 20:05:36,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Urban; Residential; Single family; Mesic,100,39,ESCA_plot,38,237347871,ef9536d5-b774-44ae-beb0-8ef5983c814d,2023-05-10 23:05:16,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Urban; Residential,100,40,ESCA_plot,39,237347904,4b8f5b2b-9d1a-479b-8d9c-e837ea68dbcd,2023-05-10 23:05:52,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Urban; Residential; Single family; Xeric,100,41,ESCA_plot,40,237622023,6ed30c3a-184c-445b-9743-960ffa376a60,2023-05-11 22:34:58,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Agricultural Land,60,42,ESCA_plot,41,237622032,3877a4b8-412e-4439-8210-01c1ac0bd175,2023-05-11 22:35:04,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Open; Desert,40,43,ESCA_plot,41,237622032,3877a4b8-412e-4439-8210-01c1ac0bd175,2023-05-11 22:35:04,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Urban; Residential,100,44,ESCA_plot,42,237856802,836ae986-8e58-4712-aed4-06e00d17348a,2023-05-12 20:15:33,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Urban; Non-Residential; Commercial,100,45,ESCA_plot,43,237856902,87ac4c60-7f42-457e-ba86-376b711cfec3,2023-05-12 20:16:20,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Urban; Residential; Single family; Mixed,100,46,ESCA_plot,44,238459317,2bf9960c-620d-4dd8-b81c-aa8f189312b6,2023-05-15 22:51:56,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Urban; Non-Residential; Institutional,100,47,ESCA_plot,45,238459344,b9925239-ebf4-418b-a010-d4169970f4b3,2023-05-15 22:52:15,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Urban; Residential; Single family; Xeric,100,48,ESCA_plot,46,238730367,ca876f17-bae0-4f29-9293-6831223a68c3,2023-05-16 22:45:29,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
Urban; Residential; Single family; Xeric,100,49,ESCA_plot,47,238730388,a1dd9916-e624-4690-9cb5-03c34b2972db,2023-05-16 22:45:45,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
