structure type,clinometer distance (m),top of building (degree),base of building (degree),measured height if not using clinometer (m),_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status,_submission__notes,_submission__status,_submission__submitted_by,_submission___version__,_submission__tags
residential,15.9,,,6.9,29,ESCA_plot,47,238730388,a1dd9916-e624-4690-9cb5-03c34b2972db,2023-05-16 22:45:45,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
commercial,21.2,,,11,30,ESCA_plot,48,239016156,388979cd-152b-415c-b551-00396a9e3067,2023-05-17 23:31:14,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,20.5,,,4.2,31,ESCA_plot,49,239016198,c155c383-8e81-4f47-9a2d-7173c92081ef,2023-05-17 23:31:31,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,11,,,1.3,32,ESCA_plot,58,240459430,6becf0f0-eada-4465-863d-c069298587c1,2023-05-23 22:46:32,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
commercial,11,,,6.8,33,ESCA_plot,58,240459430,6becf0f0-eada-4465-863d-c069298587c1,2023-05-23 22:46:32,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,9.4,,,4.7,34,ESCA_plot,59,240721028,a7f6a85a-fc6b-4935-bb1b-1871c868c776,2023-05-24 19:32:44,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
institutional,8.8,,,4.5,35,ESCA_plot,63,241318686,6de33fec-b424-4086-9922-e68c6b948022,2023-05-26 20:26:58,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
institutional,12.6,,,5,36,ESCA_plot,63,241318686,6de33fec-b424-4086-9922-e68c6b948022,2023-05-26 20:26:58,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
commercial,16,,,5.9,37,ESCA_plot,64,241318701,81c82013-6ae7-4e4c-961d-cf5a59afadbb,2023-05-26 20:27:04,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
commercial,15.4,,,3.5,38,ESCA_plot,64,241318701,81c82013-6ae7-4e4c-961d-cf5a59afadbb,2023-05-26 20:27:04,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,13.2,,,4.2,39,ESCA_plot,65,242318874,a9847500-e2de-457e-b45b-c3c1ee4de08b,2023-05-30 23:40:22,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,15.5,,,3.4,40,ESCA_plot,65,242318874,a9847500-e2de-457e-b45b-c3c1ee4de08b,2023-05-30 23:40:22,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,16.9,,,4.8,41,ESCA_plot,65,242318874,a9847500-e2de-457e-b45b-c3c1ee4de08b,2023-05-30 23:40:22,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
,13.8,,,3.4,42,ESCA_plot,65,242318874,a9847500-e2de-457e-b45b-c3c1ee4de08b,2023-05-30 23:40:22,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,13.1,,,8.5,43,ESCA_plot,66,242318891,7a4af4f8-58e9-4bf5-99f1-612da9f1112f,2023-05-30 23:40:42,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
residential,33,,,4,44,ESCA_plot,69,242612615,a9558502-003f-4433-ba56-f1f7813670ef,2023-05-31 21:54:37,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
