synoptic photo of the parcel,synoptic photo of the parcel_URL,_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status,_submission__notes,_submission__status,_submission__submitted_by,_submission___version__,_submission__tags
1684259019316.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2Fe4dd68f3-530e-41f3-8fa0-4e9ba7eb4855%2F1684259019316.jpg,15,front_back_yard_repeat,13,238730379,e4dd68f3-530e-41f3-8fa0-4e9ba7eb4855,2023-05-16 22:45:38,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
1684270979679.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2F8d2ca4bc-5d2c-4d22-812e-884daab8a565%2F1684270979679.jpg,16,front_back_yard_repeat,14,238730426,8d2ca4bc-5d2c-4d22-812e-884daab8a565,2023-05-16 22:45:56,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
1684271451387.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2F8d2ca4bc-5d2c-4d22-812e-884daab8a565%2F1684271451387.jpg,17,front_back_yard_repeat,15,238730426,8d2ca4bc-5d2c-4d22-812e-884daab8a565,2023-05-16 22:45:56,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
1684271460613.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2F8d2ca4bc-5d2c-4d22-812e-884daab8a565%2F1684271460613.jpg,18,front_back_yard_repeat,15,238730426,8d2ca4bc-5d2c-4d22-812e-884daab8a565,2023-05-16 22:45:56,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
1684356660161.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2F8ab36e7a-83a4-44ff-9ddf-b92585197086%2F1684356660161.jpg,19,front_back_yard_repeat,16,239016239,8ab36e7a-83a4-44ff-9ddf-b92585197086,2023-05-17 23:31:52,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
1684357491833.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2F8ab36e7a-83a4-44ff-9ddf-b92585197086%2F1684357491833.jpg,20,front_back_yard_repeat,17,239016239,8ab36e7a-83a4-44ff-9ddf-b92585197086,2023-05-17 23:31:52,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
1684357500815.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2F8ab36e7a-83a4-44ff-9ddf-b92585197086%2F1684357500815.jpg,21,front_back_yard_repeat,17,239016239,8ab36e7a-83a4-44ff-9ddf-b92585197086,2023-05-17 23:31:52,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
1684953131274.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2Fe55b1f33-d754-47cb-9b3e-488fa2a99d51%2F1684953131274.jpg,22,front_back_yard_repeat,18,240721082,e55b1f33-d754-47cb-9b3e-488fa2a99d51,2023-05-24 19:32:53,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
1684953247928.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2Fe55b1f33-d754-47cb-9b3e-488fa2a99d51%2F1684953247928.jpg,23,front_back_yard_repeat,19,240721082,e55b1f33-d754-47cb-9b3e-488fa2a99d51,2023-05-24 19:32:53,,,submitted_via_web,caplter_leia,vGeDo5CSVHgBAZSoYL6DEX,
1685472479073.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2F8ec22ffb22e74407b9ae6093334d6918%2F397f6eec-030c-464d-8b3b-f1894b139a03%2F1685472479073.jpg,24,front_back_yard_repeat,20,242318555,397f6eec-030c-464d-8b3b-f1894b139a03,2023-05-30 23:38:41,,,submitted_via_web,caplter_luke,vGeDo5CSVHgBAZSoYL6DEX,
