dist,deg up,deg down,rad calc ht -,rad calc ht +,tan calc ht -,tan calc ht +,
26,7,-3,4.5550008448,1.8297963221,18.9514374309,26.3638576708,1.8180971105
26,8,-5,5.9287669539,1.3793564506,-264.6858879981,-88.8991076733,1.3626022614
26,15,-4,8.7847761137,5.1485818927,7.8475249175,-52.3591817647,5.0538880376
26,0,-4,1.8180971105,-1.8180971105,30.1033533411,-30.1033533411,-1.8180971105
26,3.75,-4,3.5222271437,-0.1139670773,48.21367547,-11.9930312122,-0.1134471213
26,8,-4,5.4721588128,1.8359645917,-146.6891444946,-206.8958511768,1.8180971105
26,12,-4,7.344567714,3.7083734929,13.5709951959,-46.6357114863,3.6540617023
26,15,3.75,5.26254897,8.6708090364,-40.3661505525,-4.1455062947,8.8258107304
26,12,8,1.8724089012,9.1805323057,160.2601396905,-193.3248559809,9.4632260909
