taxa_clean,taxonID,taxonRank,acceptedNameUsageID,taxonomicStatus,update_date,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName
Lonicera,ITIS:35281,genus,ITIS:35281,accepted,2011-08-30,NA,NA,NA,NA,NA,NA,,,honeysuckle
Chamaerops humilis,ITIS:506714,species,ITIS:506714,accepted,2011-04-25,Plantae,NA,Magnoliopsida,Arecales,Arecaceae,Chamaerops,humilis,,European fan palm
Pachypodium,ITIS:893798,genus,ITIS:893798,accepted,2012-05-31,NA,NA,NA,NA,NA,NA,,,NA
Phoenix,ITIS:42457,genus,ITIS:42457,accepted,2011-04-25,NA,NA,NA,NA,NA,NA,,,date palm
Pyracantha crenatoserrata,ITIS:836820,species,ITIS:836820,accepted,2011-12-08,Plantae,NA,Magnoliopsida,Rosales,Rosaceae,Pyracantha,crenatoserrata,,NA
cf Lantana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gardenia jasminoides,ITIS:35163,species,ITIS:35163,accepted,2012-02-27,Plantae,NA,Magnoliopsida,Gentianales,Rubiaceae,Gardenia,jasminoides,,Cape jasmine
Euphorbia pulcherrima,ITIS:502548,species,ITIS:502548,accepted,2017-04-25,Plantae,NA,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,pulcherrima,,poinsettia
Philodendron,ITIS:42572,genus,ITIS:42572,accepted,2011-03-22,NA,NA,NA,NA,NA,NA,,,NA
Rubiaceae,ITIS:34784,family,ITIS:34784,accepted,2014-12-22,NA,NA,NA,NA,NA,NA,,,madders
Dasylirion,ITIS:42910,genus,ITIS:42910,accepted,2011-02-24,NA,NA,NA,NA,NA,NA,,,sotol
Datura cf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yucca rostrata,ITIS:43150,species,ITIS:43150,accepted,2011-02-24,Plantae,NA,Magnoliopsida,Asparagales,Asparagaceae,Yucca,rostrata,,beaked yucca
Abutilon palmeri,ITIS:21667,species,ITIS:21667,accepted,2020-08-28,Plantae,NA,Magnoliopsida,Malvales,Malvaceae,Abutilon,palmeri,,Palmers Indian mallow
Stachys,ITIS:32310,genus,ITIS:32310,accepted,2011-09-22,NA,NA,NA,NA,NA,NA,,,hedgenettle
Agave angustifolia,ITIS:505872,species,ITIS:505872,accepted,2011-02-24,Plantae,NA,Magnoliopsida,Asparagales,Asparagaceae,Agave,angustifolia,,century plant
cf Convolvulus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
