synoptic photo of the plot,synoptic photo of the plot_URL,_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status,_submission__notes,_submission__status,_submission__submitted_by,_submission___version__,_submission__tags
1680804350312.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2Ff6cbec72-0275-4d32-a096-02b871d80c65%2F1680804350312.jpg,15,ESCA_plot,9,230550266,f6cbec72-0275-4d32-a096-02b871d80c65,2023-04-06 23:41:00,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
1680804443256.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2Ff6cbec72-0275-4d32-a096-02b871d80c65%2F1680804443256.jpg,16,ESCA_plot,9,230550266,f6cbec72-0275-4d32-a096-02b871d80c65,2023-04-06 23:41:00,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
1680892548003.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2F6645bfa7-67d7-4373-b068-8741a34d5167%2F1680892548003.jpg,17,ESCA_plot,10,230692617,6645bfa7-67d7-4373-b068-8741a34d5167,2023-04-07 21:02:26,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
1680892567600.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2F6645bfa7-67d7-4373-b068-8741a34d5167%2F1680892567600.jpg,18,ESCA_plot,10,230692617,6645bfa7-67d7-4373-b068-8741a34d5167,2023-04-07 21:02:26,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
1681148799511.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2Fd378f4f5-4512-4eaa-b1c0-643a11275c09%2F1681148799511.jpg,19,ESCA_plot,11,231097251,d378f4f5-4512-4eaa-b1c0-643a11275c09,2023-04-10 21:16:58,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
1681148857206.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2Fd378f4f5-4512-4eaa-b1c0-643a11275c09%2F1681148857206.jpg,20,ESCA_plot,11,231097251,d378f4f5-4512-4eaa-b1c0-643a11275c09,2023-04-10 21:16:58,,,submitted_via_web,caplter_leia,v3MMdbmywXTKKWSPkwFt4d,
1681316608999.jpg,https://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2F1283c61e-04c4-4271-8a17-5562d7b2db14%2F1681316608999.jpg,21,ESCA_plot,12,231587213,1283c61e-04c4-4271-8a17-5562d7b2db14,2023-04-12 19:14:38,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
1681493468356.jpg,http://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2Fa469ffae-b720-422a-b452-0357460c02f6%2F1681493468356.jpg,22,ESCA_plot,13,232043530,9f8c829b-e455-4b75-8131-e588c4713329,2023-04-14 19:36:16,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
1681756520887.jpg,http://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2F3697cf95-c09f-4167-bd83-e35f621586de%2F1681756520887.jpg,23,ESCA_plot,15,232533224,b45e1a21-1009-4be7-ad9a-695fa2a7f994,2023-04-17 20:31:07,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
1681840009561.jpg,http://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2F22cbb684-74dd-463a-8171-f983ff2194ba%2F1681840009561.jpg,24,ESCA_plot,16,232791245,46025823-c072-41c9-b64b-9d54b337d7a1,2023-04-18 22:26:17,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
1681840067768.jpg,http://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2F22cbb684-74dd-463a-8171-f983ff2194ba%2F1681840067768.jpg,25,ESCA_plot,16,232791245,46025823-c072-41c9-b64b-9d54b337d7a1,2023-04-18 22:26:17,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
1681840089003.jpg,http://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2F22cbb684-74dd-463a-8171-f983ff2194ba%2F1681840089003.jpg,26,ESCA_plot,16,232791245,46025823-c072-41c9-b64b-9d54b337d7a1,2023-04-18 22:26:17,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
1681840578710.jpg,http://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2F22cbb684-74dd-463a-8171-f983ff2194ba%2F1681840578710.jpg,27,ESCA_plot,16,232791245,46025823-c072-41c9-b64b-9d54b337d7a1,2023-04-18 22:26:17,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
1681840600781.jpg,http://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2F22cbb684-74dd-463a-8171-f983ff2194ba%2F1681840600781.jpg,28,ESCA_plot,16,232791245,46025823-c072-41c9-b64b-9d54b337d7a1,2023-04-18 22:26:17,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
1681840624281.jpg,http://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2F22cbb684-74dd-463a-8171-f983ff2194ba%2F1681840624281.jpg,29,ESCA_plot,16,232791245,46025823-c072-41c9-b64b-9d54b337d7a1,2023-04-18 22:26:17,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
1681926138672.jpg,http://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2Fad6933a3-86a4-4fc7-a8e6-855e1e9ce6a2%2F1681926138672.jpg,30,ESCA_plot,17,233017239,7b8ef0b9-5882-44e5-838f-808ff438b534,2023-04-19 22:19:53,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
1681936406906.jpg,http://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2F0d6a9bff-2f2b-4c1f-b9e7-860c4203f1b4%2F1681936406906.jpg,31,ESCA_plot,18,233017248,402b3d57-db69-4306-a3db-80f40e26bef1,2023-04-19 22:19:58,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
1682031078476.jpg,http://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2F7a8c0b6e-d09b-4529-9309-c9896b512abc%2F1682031078476.jpg,32,ESCA_plot,19,233240017,f8664ecd-13e1-42a8-aa92-76f9b3413b08,2023-04-21 01:13:33,,,submitted_via_web,caplter_luke,vJf4kUK8Jzine9YXd7YCoJ,
1682095618714.jpg,http://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2F7d11626d-afd1-443e-9eeb-886398568db1%2F1682095618714.jpg,33,ESCA_plot,20,233367529,8ab8a4c1-f612-49fc-937b-9d7afc64e011,2023-04-21 18:59:53,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
1682357302673.jpg,http://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2F9f6dd6e6-d286-47cf-abd2-527b04954896%2F1682357302673.jpg,34,ESCA_plot,21,233762319,31b0bbe0-d249-408e-b813-e3207c5b567b,2023-04-24 20:33:17,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
1682357343170.jpg,http://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2F9f6dd6e6-d286-47cf-abd2-527b04954896%2F1682357343170.jpg,35,ESCA_plot,21,233762319,31b0bbe0-d249-408e-b813-e3207c5b567b,2023-04-24 20:33:17,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
1682443554327.jpg,http://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2Fb0f0e6dd-2fbe-4b37-8ef9-a4ef63f803d6%2F1682443554327.jpg,36,ESCA_plot,22,233989092,cb0b1662-bf91-4994-8fcc-87cf532c4de0,2023-04-25 21:37:37,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
1682443591354.jpg,http://kc.kobotoolbox.org/media/original?media_file=caplter%2Fattachments%2Ff966f23ddfaf47f0a2371454da92b702%2Fb0f0e6dd-2fbe-4b37-8ef9-a4ef63f803d6%2F1682443591354.jpg,37,ESCA_plot,22,233989092,cb0b1662-bf91-4994-8fcc-87cf532c4de0,2023-04-25 21:37:37,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
