Sample ID,Sample Type,Replicate Number,Repeat Number,Cup Number,Manual Dilution Factor,Auto Dilution Factor,Weight (Units),Weight,Units,Detection Date,Detection Time,User Name,Run File Name,Description,Channel Number,Analyte Name,Peak Concentration,Determined Conc.,Concentration Units,Peak Area,Peak Height,Calibration equation,Retention Time,Inject to Peak Start,Conc x ADF,Conc x MDF,Conc x ADF x MDF
CalStd A,Calibration Standard,1,1,S1,1,1,,,,9/29/2016,9:28:28 AM,instrument,OM_9-29-2016_09-27-40AM.OMN,,2,Phosphate,400,399.454,ug P/L,129,4.13,Conc = 0.00 * Area^3 + 0.00 * Area^2 + 0.00 * Area + 0.00,64.3,37.9,400,400,400
CalStd A,Calibration Standard,1,2,S2,1,1,,,,9/29/2016,9:29:18 AM,instrument,OM_9-29-2016_09-27-40AM.OMN,,2,Phosphate,200,201.6392,ug P/L,81.1,2.96,Conc = 0.00 * Area^3 + 0.00 * Area^2 + 0.00 * Area + 0.00,64.3,37.9,200,200,200
CalStd B,Calibration Standard,1,1,S2,1,2,,,,9/29/2016,9:32:08 AM,instrument,OM_9-29-2016_09-27-40AM.OMN,,2,Phosphate,100,97.38801,ug P/L,39.4,1.43,Conc = 0.00 * Area^3 + 0.00 * Area^2 + 0.00 * Area + 0.00,63.9,37.9,200,100,200
CalStd C,Calibration Standard,1,1,S2,1,4,,,,9/29/2016,9:34:51 AM,instrument,OM_9-29-2016_09-27-40AM.OMN,,2,Phosphate,50,51.11912,ug P/L,19.4,0.7,Conc = 1.93e-4 * Area^3 - 0.0286 * Area^2 + 3.66 * Area - 11.7,63.9,37.5,200,50,200
CalStd D,Calibration Standard,1,1,S2,1,10,,,,9/29/2016,9:37:35 AM,instrument,OM_9-29-2016_09-27-40AM.OMN,,2,Phosphate,20,20.47022,ug P/L,7.31,0.262,Conc = 1.49e-4 * Area^3 - 0.0186 * Area^2 + 3.03 * Area - 1.46,63.9,38.4,200,20,200
CalStd E,Calibration Standard,1,1,S2,1,20,,,,9/29/2016,9:41:01 AM,instrument,OM_9-29-2016_09-27-40AM.OMN,,2,Phosphate,10,9.857625,ug P/L,3.41,0.122,Conc = 1.38e-4 * Area^3 - 0.0163 * Area^2 + 2.90 * Area + 0.0187,63.5,37.5,200,10,200
CalStd F,Calibration Standard,1,1,S2,1,40,,,,9/29/2016,9:44:05 AM,instrument,OM_9-29-2016_09-27-40AM.OMN,,2,Phosphate,5,4.950842,ug P/L,1.66,0.059,Conc = 1.36e-4 * Area^3 - 0.0159 * Area^2 + 2.88 * Area + 0.197,63.5,38.4,200,5,200
CalStd G,Calibration Standard,1,1,S3,1,1,,,,9/29/2016,9:44:55 AM,instrument,OM_9-29-2016_09-27-40AM.OMN,,2,Phosphate,0,-1.27E-02,ug P/L,-0.0779,-0.00276,Conc = 1.36e-4 * Area^3 - 0.0159 * Area^2 + 2.88 * Area + 0.212,43.7,23.1,0,0,0
Ext Source QC,Method Detection Limit,1,1,S16,1,1,,,,9/29/2016,9:45:48 AM,instrument,OM_9-29-2016_09-27-40AM.OMN,VHG YASUCM-500 1:200 Dilution,2,Phosphate,4.75,,ug P/L,1.59,0.0567,Conc = 1.36e-4 * Area^3 - 0.0159 * Area^2 + 2.88 * Area + 0.212,63.1,37.9,4.75,4.75,4.75
Ext Source QC,Method Detection Limit,2,1,S16,1,1,,,,9/29/2016,9:46:41 AM,instrument,OM_9-29-2016_09-27-40AM.OMN,VHG YASUCM-500 1:200 Dilution,2,Phosphate,4.8,,ug P/L,1.61,0.0574,Conc = 1.36e-4 * Area^3 - 0.0159 * Area^2 + 2.88 * Area + 0.212,63.9,37.5,4.8,4.8,4.8
