Sample ID,Sample Type,Replicate Number,Repeat Number,Cup Number,Manual Dilution Factor,Auto Dilution Factor,Weight (Units),Weight,Units,Detection Date,Detection Time,User Name,Run File Name,Description,Channel Number,Analyte Name,Peak Concentration,Determined Conc.,Concentration Units,Peak Area,Peak Height,Calibration equation,Retention Time,Inject to Peak Start,Conc x ADF,Conc x MDF,Conc x ADF x MDF
CalStd A,Calibration Standard,1,1,S1,1,1,,,,9/27/2016,10:34:28 AM,instrument,OM_9-27-2016_10-33-40AM.OMN,,2,Phosphate,400,0,ug P/L,176,5.16,Conc = 0.00 * Area^3 + 0.00 * Area^2 + 0.00 * Area + 0.00,65.2,34.6,400,400,400
CalStd A,Calibration Standard,1,2,S2,1,1,,,,9/27/2016,10:35:18 AM,instrument,OM_9-27-2016_10-33-40AM.OMN,,2,Phosphate,200,0,ug P/L,102,3.39,Conc = 0.00 * Area^3 + 0.00 * Area^2 + 0.00 * Area + 0.00,63.5,35.9,200,200,200
CalStd B,Calibration Standard,1,1,S2,1,2,,,,9/27/2016,10:38:09 AM,instrument,OM_9-27-2016_10-33-40AM.OMN,,2,Phosphate,100,0,ug P/L,51.2,1.67,Conc = 0.00 * Area^3 + 0.00 * Area^2 + 0.00 * Area + 0.00,63.9,34.6,200,100,200
CalStd C,Calibration Standard,1,1,S2,1,4,,,,9/27/2016,10:40:53 AM,instrument,OM_9-27-2016_10-33-40AM.OMN,,2,Phosphate,50,50,ug P/L,25.8,0.831,Conc = 4.11e-5 * Area^3 - 7.40e-3 * Area^2 + 2.35 * Area - 6.47,63.9,34.2,200,50,200
CalStd D,Calibration Standard,1,1,S2,1,10,,,,9/27/2016,10:43:37 AM,instrument,OM_9-27-2016_10-33-40AM.OMN,,2,Phosphate,20,19.86893,ug P/L,10.2,0.32,Conc = 3.08e-5 * Area^3 - 4.32e-3 * Area^2 + 2.09 * Area - 1.03,63.9,37.1,200,20,200
CalStd E,Calibration Standard,1,1,S2,1,20,,,,9/27/2016,10:47:04 AM,instrument,OM_9-27-2016_10-33-40AM.OMN,,2,Phosphate,10,9.814049,ug P/L,4.85,0.149,Conc = 2.72e-5 * Area^3 - 3.32e-3 * Area^2 + 2.02 * Area + 0.0935,63.9,36.3,200,10,200
CalStd F,Calibration Standard,1,1,S2,1,40,,,,9/27/2016,10:50:08 AM,instrument,OM_9-27-2016_10-33-40AM.OMN,,2,Phosphate,5,4.979389,ug P/L,2.4,0.0724,Conc = 2.69e-5 * Area^3 - 3.23e-3 * Area^2 + 2.02 * Area + 0.158,63.5,37.1,200,5,200
CalStd G,Calibration Standard,1,1,S3,1,1,,,,9/27/2016,10:50:58 AM,instrument,OM_9-27-2016_10-33-40AM.OMN,,2,Phosphate,0,-3.86E-02,ug P/L,-0.122,-0.0026,Conc = 2.65e-5 * Area^3 - 3.13e-3 * Area^2 + 2.01 * Area + 0.207,42.9,20.2,0,0,0
Ext Source QC,Method Detection Limit,1,1,S16,1,1,,,,9/27/2016,10:51:51 AM,instrument,OM_9-27-2016_10-33-40AM.OMN,VHG YASUCM-500 1:200 Dilution,2,Phosphate,4.94,,ug P/L,2.36,0.072,Conc = 2.65e-5 * Area^3 - 3.13e-3 * Area^2 + 2.01 * Area + 0.207,62.7,37.9,4.94,4.94,4.94
Ext Source QC,Method Detection Limit,2,1,S16,1,1,,,,9/27/2016,10:52:44 AM,instrument,OM_9-27-2016_10-33-40AM.OMN,VHG YASUCM-500 1:200 Dilution,2,Phosphate,4.97,,ug P/L,2.38,0.0727,Conc = 2.65e-5 * Area^3 - 3.13e-3 * Area^2 + 2.01 * Area + 0.207,64.3,37.5,4.97,4.97,4.97
