Sample ID,Sample Type,Replicate Number,Repeat Number,Cup Number,Manual Dilution Factor,Auto Dilution Factor,Weight (Units),Weight,Units,Detection Date,Detection Time,User Name,Run File Name,Description,Channel Number,Analyte Name,Peak Concentration,Determined Conc.,Concentration Units,Peak Area,Peak Height,Calibration equation,Retention Time,Inject to Peak Start,Conc x ADF,Conc x MDF,Conc x ADF x MDF
CalStd A,Calibration Standard,1,1,S1,1,1,,,,9/28/2016,9:56:15 AM,instrument,OM_9-28-2016_09-55-27AM.OMN,,2,Phosphate,400,0,ug P/L,137,4.32,Conc = 0.00 * Area^3 + 0.00 * Area^2 + 0.00 * Area + 0.00,63.9,37.1,400,400,400
CalStd A,Calibration Standard,1,2,S2,1,1,,,,9/28/2016,9:57:05 AM,instrument,OM_9-28-2016_09-55-27AM.OMN,,2,Phosphate,200,0,ug P/L,81.8,2.95,Conc = 0.00 * Area^3 + 0.00 * Area^2 + 0.00 * Area + 0.00,63.1,37.5,200,200,200
CalStd B,Calibration Standard,1,1,S2,1,2,,,,9/28/2016,9:59:49 AM,instrument,OM_9-28-2016_09-55-27AM.OMN,,2,Phosphate,100,0,ug P/L,40,1.44,Conc = 0.00 * Area^3 + 0.00 * Area^2 + 0.00 * Area + 0.00,63.9,37.5,200,100,200
CalStd C,Calibration Standard,1,1,S2,1,4,,,,9/28/2016,10:02:34 AM,instrument,OM_9-28-2016_09-55-27AM.OMN,,2,Phosphate,50,50,ug P/L,19.3,0.699,Conc = 1.12e-4 * Area^3 - 0.0159 * Area^2 + 3.04 * Area - 3.47,63.5,37.5,200,50,200
CalStd D,Calibration Standard,1,1,S2,1,10,,,,9/28/2016,10:05:18 AM,instrument,OM_9-28-2016_09-55-27AM.OMN,,2,Phosphate,20,19.9177,ug P/L,7.39,0.263,Conc = 1.00e-4 * Area^3 - 0.0132 * Area^2 + 2.86 * Area - 0.568,63.1,37.5,200,20,200
CalStd E,Calibration Standard,1,1,S2,1,20,,,,9/28/2016,10:08:44 AM,instrument,OM_9-28-2016_09-55-27AM.OMN,,2,Phosphate,10,9.795802,ug P/L,3.38,0.12,Conc = 9.22e-5 * Area^3 - 0.0115 * Area^2 + 2.77 * Area + 0.573,62.7,37.9,200,10,200
CalStd F,Calibration Standard,1,1,S2,1,40,,,,9/28/2016,10:11:49 AM,instrument,OM_9-28-2016_09-55-27AM.OMN,,2,Phosphate,5,5.024524,ug P/L,1.64,0.0584,Conc = 9.30e-5 * Area^3 - 0.0116 * Area^2 + 2.78 * Area + 0.502,62.7,37.5,200,5,200
CalStd G,Calibration Standard,1,1,S3,1,1,,,,9/28/2016,10:12:39 AM,instrument,OM_9-28-2016_09-55-27AM.OMN,,2,Phosphate,0,0.1470872,ug P/L,-0.066,-0.00261,Conc = 9.58e-5 * Area^3 - 0.0122 * Area^2 + 2.80 * Area + 0.332,44.9,22.7,0,0,0
Ext Source QC,Method Detection Limit,1,1,S16,1,1,,,,9/28/2016,10:13:32 AM,instrument,OM_9-28-2016_09-55-27AM.OMN,VHG YASUCM-500 1:200 Dilution,2,Phosphate,4.86,,ug P/L,1.63,0.0579,Conc = 9.58e-5 * Area^3 - 0.0122 * Area^2 + 2.80 * Area + 0.332,62.7,37.9,4.86,4.86,4.86
Ext Source QC,Method Detection Limit,2,1,S16,1,1,,,,9/28/2016,10:14:25 AM,instrument,OM_9-28-2016_09-55-27AM.OMN,VHG YASUCM-500 1:200 Dilution,2,Phosphate,4.91,,ug P/L,1.64,0.0586,Conc = 9.58e-5 * Area^3 - 0.0122 * Area^2 + 2.80 * Area + 0.332,62.7,37.9,4.91,4.91,4.91
Ext Source QC,Method Detection Limit,3,1,S16,1,1,,,,9/28/2016,10:15:18 AM,instrument,OM_9-28-2016_09-55-27AM.OMN,VHG YASUCM-500 1:200 Dilution,2,Phosphate,4.92,,ug P/L,1.65,0.0587,Conc = 9.58e-5 * Area^3 - 0.0122 * Area^2 + 2.80 * Area + 0.332,61.9,37.9,4.92,4.92,4.92
Dilution check,Check Standard,1,1,S15,1,100,,,,9/28/2016,10:20:50 AM,instrument,OM_9-28-2016_09-55-27AM.OMN,,2,Phosphate,5.27,5.273884,ug P/L,1.78,0.063,Conc = 9.58e-5 * Area^3 - 0.0122 * Area^2 + 2.80 * Area + 0.332,62.7,37.5,527,5.27,527
